City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
118,namibe,-15.2,12.15,75.09,81,24,13.82,AO,1579974271
119,scarborough,54.28,-0.4,43,80,56,5.99,GB,1579974271
120,trairi,-3.28,-39.27,87.89,63,56,7.72,BR,1579974271
121,labuhan,-6.88,112.21,76.57,88,52,3.51,ID,1579974271
122,thompson,55.74,-97.86,19.26,91,76,0.34,CA,1579974272
123,butaritari,3.07,172.79,84.85,72,7,9.24,KI,1579974272
124,beisfjord,68.38,17.6,28,85,95,13,NO,1579974272
125,portalegre,39.29,-7.43,45.7,94,72,1.7,PT,1579974272
126,saldanha,-33.01,17.94,66.09,86,56,11.97,ZA,1579974248
127,port moresby,-9.44,147.18,80.78,79,82,7.11,PG,1579974273
128,aripuana,-9.17,-60.63,91.51,52,96,4.83,BR,1579974273
129,lebu,-37.62,-73.65,76.42,37,0,12.57,CL,1579974188
130,damaturu,11.75,11.96,70.59,19,19,12.53,NG,1579974273
131,waingapu,-9.66,120.26,84.61,70,84,6.2,ID,1579974273
132,mount gambier,-37.83,140.77,58.8,98,67,4.76,AU,1579974274
133,rudnya,54.95,31.09,31.84,92,70,14.47,RU,1579974274
134,eureka,40.8,-124.16,59,95,100,4.25,US,1579974207
135,ribeira grande,38.52,-28.7,54.48,92,100,11.32,PT,1579974274
136,vire,48.92,-0.83,45,54,1,4,FR,1579974274
137,hualmay,-11.1,-77.61,82.53,51,97,10.58,PE,1579974275
138,lazarev,52.23,141.51,-12.82,83,0,8.84,RU,1579974275
139,fort smith,35.39,-94.4,46,70,1,5.82,US,1579974000
140,maamba,-17.37,27.15,70.23,86,1,3.91,ZM,1579974275
141,benidorm,38.54,-0.13,55.99,74,92,6.78,ES,1579974275
142,zimovniki,47.15,42.46,39.09,77,100,24.36,RU,1579974276
143,kakogawa,34.77,134.85,43,79,100,2.15,JP,1579974276
144,yangjiang,21.85,111.97,60.93,88,98,5.55,CN,1579974276
145,ayotzintepec,17.67,-96.13,72.34,65,0,5.3,MX,1579974276
146,sarangani,5.4,125.46,81.59,81,0,12.39,PH,1579974277
147,urumqi,43.8,87.6,8.55,89,72,0.72,CN,1579974277
148,ponta do sol,32.67,-17.1,63,58,0,4,PT,1579974194
149,deputatskiy,69.3,139.9,-41.01,100,42,1.07,RU,1579974277
150,boyuibe,-20.42,-63.28,90.75,20,44,6.46,BO,1579974278
151,kodiak,57.79,-152.41,19.33,83,75,22.82,US,1579974208
152,mesa,33.42,-111.82,64,42,35,1.01,US,1579974107
153,kantabanji,20.48,82.92,65.66,43,53,2.21,IN,1579974278
154,hithadhoo,-0.6,73.08,82.87,80,100,13.8,MV,1579974279
155,portland,45.52,-122.68,53.01,93,75,8.41,US,1579974184
156,fereydun kenar,36.69,52.52,39.81,84,17,4.36,IR,1579974279
157,east london,-33.02,27.91,79.05,67,19,12.46,ZA,1579974279
158,namatanai,-3.67,152.43,82.63,79,21,12.44,PG,1579974279
159,richards bay,-28.78,32.04,78.19,81,50,26.11,ZA,1579974280
160,nome,64.5,-165.41,-9.74,73,0,7.18,US,1579974280
